"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_admin.dart", "Dart", 56, 0, 0, 4, 60
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_image.dart", "Dart", 15, 0, 0, 3, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\transition_animation.dart", "Dart", 75, 0, 6, 17, 98
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\unique.dart", "Dart", 8, 0, 3, 3, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\eventsjo_todos.todo", "Todo", 0, 126, 0, 3, 129
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart", "Dart", 402, 0, 51, 71, 524
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\domain\repos\admin_repo.dart", "Dart", 49, 0, 1, 33, 83
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_app_bar.dart", "Dart", 44, 0, 0, 5, 49
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_button.dart", "Dart", 33, 0, 0, 4, 37
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card.dart", "Dart", 61, 0, 0, 4, 65
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_confirmation_display_row.dart", "Dart", 114, 0, 1, 5, 120
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_dashboard_card.dart", "Dart", 53, 0, 0, 4, 57
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_divider.dart", "Dart", 37, 0, 0, 3, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_error_card.dart", "Dart", 42, 0, 0, 4, 46
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_event_list_loading_card.dart", "Dart", 29, 0, 0, 3, 32
