"filename", "language", "Todo", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_meals.dart", "Dart", 0, -139, -6, -11, -156
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_meals_page.dart", "Dart", 0, 216, 6, 14, 236
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_name_page.dart", "Dart", 0, 6, 0, 3, 9
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_event_type_page.dart", "Dart", 0, 12, -4, 2, 10
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_images_page.dart", "Dart", 0, -2, 0, 2, 0
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_license_page.dart", "Dart", 0, 62, 5, 9, 76
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_people_range.dart", "Dart", 0, 10, 0, 3, 13
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_range_date_page.dart", "Dart", 0, 30, 4, 2, 36
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\sub pages\select_range_time_page.dart", "Dart", 0, -4, -1, -4, -9
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\data\firebase_settings_repo.dart", "Dart", 0, 190, 48, 59, 297
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\domain\settings_repo.dart", "Dart", 0, 15, 0, 7, 22
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_card.dart", "Dart", 0, 50, 0, 4, 54
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_divider.dart", "Dart", 0, 16, 0, 3, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_dropdown_field.dart", "Dart", 0, 77, 0, 4, 81
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_icon_button.dart", "Dart", 0, 52, 0, 4, 56
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_loading_button.dart", "Dart", 0, 45, 0, 4, 49
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_sub_app_bar.dart", "Dart", 0, 35, 0, 5, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_switch.dart", "Dart", 0, 38, 0, 4, 42
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_text_button.dart", "Dart", 0, 52, 0, 4, 56
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\components\settings_text_field.dart", "Dart", 0, 55, 0, 4, 59
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\cubits\email\email_cubit.dart", "Dart", 0, 22, 6, 7, 35
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\cubits\email\email_states.dart", "Dart", 0, 12, 0, 8, 20
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\cubits\password\password_cubit.dart", "Dart", 0, 21, 6, 7, 34
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\cubits\password\password_states.dart", "Dart", 0, 12, 0, 8, 20
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\cubits\settings_cubit.dart", "Dart", 0, 61, 11, 15, 87
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\cubits\settings_states.dart", "Dart", 0, 8, 0, 6, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\account_page.dart", "Dart", 0, 239, 29, 34, 302
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\notifications_page.dart", "Dart", 0, 53, 4, 7, 64
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\privacy_page.dart", "Dart", 0, 160, 10, 11, 181
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\settings_page.dart", "Dart", 0, 119, 6, 14, 139
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\settings_page_for_owners.dart", "Dart", 0, 151, 8, 20, 179
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\sub pages\update_email_page.dart", "Dart", 0, 159, 19, 25, 203
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\sub pages\update_password_page.dart", "Dart", 0, 152, 18, 23, 193
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\settings\representation\pages\support_page.dart", "Dart", 0, 152, 3, 10, 165
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_drinks_repo.dart", "Dart", 0, -20, -4, -6, -30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_meals_repo.dart", "Dart", 0, -20, -4, -6, -30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\data\firebase_wedding_venue_repo.dart", "Dart", 0, 39, 6, 7, 52
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\entities\wedding_venue.dart", "Dart", 0, 4, 0, 0, 4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\weddin_venue_drinks_repo.dart", "Dart", 0, -4, -1, -2, -7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\wedding_venue_meals_repo.dart", "Dart", 0, -4, -1, -2, -7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\domain\repo\wedding_venue_repo.dart", "Dart", 0, 7, 0, 4, 11
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_checkout_card.dart", "Dart", 0, 39, 1, 5, 45
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_date_picker.dart", "Dart", 0, 1, 0, 0, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_details_summary.dart", "Dart", 0, 275, 3, 5, 283
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_name_rating_and_location.dart", "Dart", 0, 4, 0, 0, 4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_people_slider.dart", "Dart", 0, -4, 0, -1, -5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\details\venue_time_picker.dart", "Dart", 0, 3, -29, 0, -26
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\drink_card.dart", "Dart", 0, 10, 2, 2, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\empty_card.dart", "Dart", 0, 3, 0, 0, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\error_venues.dart", "Dart", 0, 37, 0, 4, 41
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\meal_card.dart", "Dart", 0, 10, 2, 2, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\no_venues.dart", "Dart", 0, 37, 0, 4, 41
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_bar.dart", "Dart", 0, 111, 2, 5, 118
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_card.dart", "Dart", 0, 12, -2, 1, 11
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\weddings\representation\components\venue_changed.dart", "Dart", 0, 45, 0, 3, 48
